title,skillset,category
Security Architect,", OS hardening, IAM, network segmentation) Stay ahead of emerging threats & industry best practices, guiding teams on improvements Actively contribute to the Architecture Working Group & strategic decision-making Be available during critical incidents to support crisis response & recovery Step in for the Head of Engineering Security when needed, helping lead the broader security function To be successful you will have: 10 years’ + experience in Information Security, including 5+ years in Security Architecture within financial services Strong understanding of infrastructure & application security including web, mobile, APIs & cloud technologies Experience dealing with compliance & regulatory requirements Excellent communication skills - verbal, written & interpersonal Experience with threat assessment & remediation Understanding of industry best practice security standards e ISO27001, NIST, PCI-DSS Good understanding & implementation experience with the Zero-Trust security model Qualifications in one or more of the following: CISSP, CISM, Azure Well-Architected Framework, TOGAF, SABSA, ISO & NIST Applicants must hold valid work rights for this role",2
Senior Security Engineer,"Overview Reporting to the Head of Information Security Transformation, the Senior Security Engineer (SSE) will help drive the Security Architecture and Engineering team and the business in current information security challenges across security technology control assessment, design, configuration, integration, documentation and support Key Accountabilities and main responsibilities Client-first attitude Create and maintain global standards, ensuring a consistent security approach; Design and implement solutions to ensure that they deliver business objectives securely; Uplift, drive and deliver security capabilities within the group; Act as a technical point of escalation related to security controls and concepts; Deliver security solution designs and implementation direction in a fast-paced environment solutions; Evaluate, architect, implement, and support security tools and services for Link Group rapidly emerging Cloud based hosting model and help execute the global Information Security strategy / Centre of Excellence Lead technical change for cybersecurity best practice adoption within projects Develop security solutions architecture aligned to organisational strategy and industry best practice Provide guidance to key stakeholders on best practice architecture practices This includes performing research and keeping abreast of trends and best practice techniques and controls Provide leadership and mentorship to junior team members including knowledge transfer Demonstrate ‘by example’ professional and ethical behaviour by ensuring compliance with external legislation, internal operating policies, and procedures relevant to the position Policy and configuration review, approval and implementation of changes to DLP, WAF, DAM, endpoint, and other security products Operational Management Provide solutions to a variety of technical problems of varied scope and complexity; You must have strong experience as a Security Analyst/Engineer or Technical Lead role; Experience and experience designing/supporting Cloud-first environments; You have strong technical, management and deployment skills focused around information security and cloud deployments; You have strong skills in Zscaler, CASB, OKTA, Office 365 and Active Directory, Azure AD, Citrix Azure (Cloud) and other Microsoft technologies; You have a working knowledge of Agile and Product Centric principles, product management, scheduling and a strong customer focus; Governance & Risk Responsible for ensuring Link Group are compliance and adhere to legal and regulatory requirements when it comes to, Privacy, Operational, Data Protection and Information Security risks; Support Link Group assurance programs that deliver effective risk management and compliance practice; Ensure all server infrastructure and application designs comply with Link Group security policies and; Ensure audit and compliance are reviewed and complied with and take accountability for any associated corrective actions Experience & Personal Attributes Strong understanding of Application Security concepts and best practices including agile methodologies and coding languages Experience in leading DevSecOps transformation Computer Science Degree (or equivalent) – Major in Information/Cyber Security preferred Finance and/or technology industry experience Post graduate qualification Minimum 7+ years experience in security operations, security engineer or similar technical role Experience with successful and unsuccessful project implementations Knowledge of integration concepts, patterns and technologies Extensive experience across infrastructure domains (network, compute and storage) Experience across Cloud and infrastructure components (server, storage, network, data, and applications) to deliver end to end Cloud Infrastructure architectures and designs Azure experience preferred Experience performing threat modelling and value assessment techniques to assess controls and provide architectural decisions Experience working with Cloud Security, Cyber security (Malware, penetration testing, forensics, incident response), endpoint Security, Security Incident and Event management, Data Protection, network Security, Identity & Access Management Ability to identify critical & high priority issues and resolve and/or escalate where required Assist project teams with technical decisions and implementation Experience in architecting, designing, and building Security Architecture Frameworks 7+ years experience in a hands-on implementation capacity on major projects 10+ years of experience implementing medium to large-scale distributed applications Strong skills in MS-Project, Word, Excel, Visio, and PowerPoint Strong communication, consulting, and negotiation skills Essential Qualifications Tertiary degree in Computer Science / Information Technology with a preference for Information/Cyber Security Highly desirable: CISM, SSCP, CCSP, CRISC Experience using Okta, Zscaler and Sailpoint MUFG Pension & Market Services is a global, digitally enabled business that empowers a brighter future by connecting millions of people with their assets – safely, securely and responsibly A member of MUFG, a global financial group, we help manage regulatory complexity, improve data management and connect people with their assets, through exceptional user experience that leverages the expertise of our people combined with scalable technology, digital connectivity and data insights",3
"Global Security GRC Analyst (Governance, Risk, and Compliance)","Requirements For this role, we value ability , attitude and aptitude over experience and skills as we have a strong training ethos An ideal candidate will have the following technical experience: Professional experience in a support role within Business Continuity or Physical Security in a complex environment Experience in professional services or a partnership environment is beneficial Experience with client audit processes Knowledge and experience of protective and detective controls, and standards such as the National Institute of Standards and Technology Cyber Security Framework, ISO-27001, PCI-DSS and Sarbanes-Oxley while providing oversight to operational teams to embed those standards in conjunction with technical and security architecture frameworks Proven ability to influence and communicate effectively at all levels (technical contributors up to senior management) Experience with governance documents, including policies, standards, baselines, procedures and guidelines Benefits Remuneration and benefits package will reflect the successful candidates experience and country where hired",1
IT Security Architect,Second one is technical consulting on IT and business projects Your background We are looking for IT Security Architect who has proven experience in consulting on security solutions with the ability to identify and communicate current and emerging security threats To be successful in this critical role you will possess: Experience in conducting security risk assessments and advising on risk mitigation strategies,2
"Engagement Manager, APAC","With over a decade of analyzing data, more than 80 registered patents, and unparalleled experience, BioCatch continues to innovate to solve tomorrow’s problems Validate technical feasibility and estimate effort for proposed work Requirements: 5 years of post-sales consulting experience in the cyber security, fraud, payments or technology space working with top tier customers History of working with highly technical internal and external teams, then translating requirements and discoveries to non-technical decision makers",4
"Personnel Security Specialist, AWS Security","* Minimum of 4 years of professional experience working on sensitive, high security programs, projects or environments * Demonstrated experience as an analyst or similar in a government or commercial setting * Proficient with government security frameworks, policies and standards (e You will have a strong track record of leading and supporting security programs, demonstrable program/project management experience, comprehensive knowledge of government clearance (e We offer talented security professionals the chance to accelerate their careers with opportunities to build experience in a wide variety of areas including cloud, devices, retail, entertainment, healthcare, operations, and physical stores The team is comprised of security professionals with a cross section of national security and private sector experience, providing a range of perspectives required for creative problem solving Degree or equivalent experience in (Cyber Security, IT Security Management, Government Security, Personnel Security, Security Risk Management) a related security field Certificate IV in Government Security (Personnel Vetting) An entrepreneurial spirit; a passion to improve at every opportunity Acknowledgement of country: In the spirit of reconciliation Amazon acknowledges the Traditional Custodians of country throughout Australia and their connections to land, sea and community",0
Senior Digital Security Specialist,"As a part of the Technology team, you get the opportunity to work through complex, challenging, meaningful problems using large data sets and new technologies to expand your skills and experience You’ll play a critical role in shaping and embedding secure-by-design principles into cutting-edge AI and ML initiatives, ensuring that customer experience, security, and privacy go hand in hand Apply hands-on experience with AI technologies and their security implications in practical scenarios About You To thrive in this role, you’ll need a strong foundation in Secure by Design principles and the ability to bridge the gap between technical solutions and business outcomes Your toolkit will include: 10+ years of experience in Information Security, including strong working knowledge of ISO 27001, PCI-DSS, and NIST frameworks Proven experience in developing and implementing technical controls to secure Data & Intelligence platforms Demonstrated experience in implementing Application Security practices, including threat modelling, secure coding, code reviews, and vulnerability management Practical experience consulting on AI/ML projects from an information security risk management perspective Hands-on experience with AI tools and platforms, and a clear understanding of their security implications",0
Cloud Security Incident Response Senior Analyst,"You are a problem solver with experience in cloud security, specialising across AWS and Azure services and solutions You will act as the technical cloud security SME and escalation path, drawing on your expertise in one or more of the following domains: incident response in AWS or Azure environments, cloud security control effectiveness, host analysis, network forensics, malware analysis, threat intelligence, and system administration You will bring your experience working within a similar role with experience in managing large and complex solutions across cloud security and incident response as a cloud subject matter expert (SME) You will also have: Experience in cybersecurity, with a focus in Incident Response and cloud Security Demonstrated experience in incident response is essential",1
Team Leader IT Infrastructure and Operations,"You will lead a team of technical experts with a primary focus on providing a high level of technical knowledge for the day-to-day operations of the Councils ICT systems, including on-premise, public and private cloud computing, multi-site network, extensive integrations and bespoke software packages, ensuring cyber security, system resiliency and efficiency are maintained Essential: Relevant tertiary qualifications and/or extensive experience in an Information Technology Operations role Demonstrated relevant Operational Leader experience in private & public hybrid cloud environments and multiple SaaS environments Demonstrate a high level of technical knowledge/skill in delivering Information technology to a medium to large organisation Desirable: Relevant Government (Local/State) experience Experience with on-premises to cloud migrations",3
Azure Cloud Engineer,"ROLE: Cloud Engineer LOCATION: Melbourne Job Description: Required Experience: 8- 10+ years’ experience working in medium to large IT environments Experience developing and adopting DevSecOps strategy and ways of working Experience in scripting and automation: Skills in Python, PowerShell, Bash or similar Hands on with Infrastructure-as-Code and experience provisioning resources using Terraform OSS",3
